,wl,nr,Kab,Kca,Ks,Kw,Kdm,phiI,phiII,KcaV,KcaZ,Kant,KcaV2,phi,nw,cbc,prot,GSV_dim0,GSV_dim1,GSV_dim2
73,473,1.4919,0.0390352,0.134998,0.447,0.00014,3.18,0.0,0.0,0.134998,0.134998,0.0534087,0.134998,0.0,1.33,3.7131199999999995,0.0,0.9916229999999999,0.5410219999999999,0.44258499999999995
74,474,1.4917,0.0387726,0.134639,0.446,0.000141,3.1,0.0,0.0,0.134639,0.134639,0.0539897,0.134639,0.0,1.33,3.6175,0.0,0.991684,0.541416,0.44072999999999996
75,475,1.4916,0.0385228,0.134366,0.445,0.000142,3.05,0.0,0.0,0.134366,0.134366,0.0544621,0.134366,0.0,1.33,3.5580199999999995,0.0,0.991745,0.54181,0.438875
76,476,1.4915,0.0382599,0.134169,0.444,0.000144,2.98,0.0,0.0,0.134169,0.134169,0.0549398,0.134169,0.0,1.33,3.4787199999999996,0.0,0.991806,0.542204,0.43701999999999996
77,477,1.4914,0.0378812,0.133937,0.443,0.000146,2.95,0.0,0.0,0.133937,0.133937,0.055543,0.133937,0.0,1.33,3.4367400000000004,0.0,0.9918669999999999,0.542598,0.435165
78,478,1.4912,0.03751,0.133745,0.442,0.000148,2.91,0.0,0.0,0.133745,0.133745,0.0561548,0.133745,0.0,1.33,3.39709,0.0,0.9919279999999999,0.542992,0.43331
79,479,1.4911,0.0371492,0.133557,0.441,0.00015,2.87,0.0,0.0,0.133557,0.133557,0.0566378,0.133557,0.0,1.33,3.3457800000000004,0.0,0.991989,0.543386,0.431455
80,480,1.491,0.0367757,0.133271,0.44,0.000152,2.8,0.0,0.0,0.133271,0.133271,0.0571515,0.133271,0.0,1.33,3.2688099999999998,0.0,0.99205,0.54378,0.4296
81,481,1.4908,0.0363,0.132787,0.439,0.000154,2.78,0.0,0.0,0.132787,0.132787,0.0576893,0.132787,0.0,1.33,3.23849,0.0,0.992143,0.544479,0.426463
82,482,1.4907,0.0357606,0.132173,0.438,0.000157,2.75,0.0,0.0,0.132173,0.132173,0.0582652,0.132173,0.0,1.33,3.20817,0.0,0.992236,0.545178,0.423326
83,483,1.4906,0.03521,0.131409,0.436,0.00016,2.73,0.0,0.0,0.131409,0.131409,0.058847,0.131409,0.0,1.33,3.17901,0.0,0.9923289999999999,0.545877,0.420189
84,484,1.4904,0.0345829,0.130422,0.435,0.000162,2.7,0.0,0.0,0.130422,0.130422,0.0594778,0.130422,0.0,1.33,3.15102,0.0,0.9924219999999999,0.546576,0.417052
85,485,1.4903,0.0339091,0.129222,0.434,0.000164,2.68,0.0,0.0,0.129222,0.129222,0.0600537,0.129222,0.0,1.33,3.1242,0.0,0.992515,0.547275,0.413915
86,486,1.4902,0.0331842,0.127818,0.432,0.000167,2.66,0.0,0.0,0.127818,0.127818,0.0606698,0.127818,0.0,1.33,3.09738,0.0,0.9926079999999999,0.547974,0.410778
87,487,1.49,0.0323774,0.126314,0.431,0.00017,2.63,0.0,0.0,0.126314,0.126314,0.061221,0.126314,0.0,1.33,3.07172,0.0,0.9927010000000001,0.548673,0.40764100000000003
88,488,1.4899,0.0315189,0.124566,0.43,0.000174,2.61,0.0,0.0,0.124566,0.124566,0.0618094,0.124566,0.0,1.33,3.04723,0.0,0.992794,0.549372,0.404504
89,489,1.4897,0.0305842,0.122692,0.429,0.000178,2.59,0.0,0.0,0.122692,0.122692,0.0623585,0.122692,0.0,1.33,3.02391,0.0,0.992887,0.550071,0.401367
90,490,1.4896,0.0296622,0.120655,0.427,0.000181,2.57,0.0,0.0,0.120655,0.120655,0.0629224,0.120655,0.0,1.33,3.0005900000000003,0.0,0.99298,0.55077,0.39823
91,491,1.4894,0.0286992,0.118603,0.426,0.000185,2.55,0.0,0.0,0.118603,0.118603,0.0634338,0.118603,0.0,1.33,2.97843,0.0,0.993142,0.551769,0.393812
92,492,1.4893,0.0276921,0.11652,0.425,0.000189,2.54,0.0,0.0,0.11652,0.11652,0.0639703,0.11652,0.0,1.33,2.95744,0.0,0.993304,0.552768,0.38939399999999996
93,493,1.4891,0.0266404,0.11441,0.423,0.000193,2.52,0.0,0.0,0.11441,0.11441,0.0644618,0.11441,0.0,1.33,2.93761,0.0,0.993466,0.553767,0.384976
94,494,1.489,0.0255901,0.112274,0.422,0.000198,2.5,0.0,0.0,0.112274,0.112274,0.0649644,0.112274,0.0,1.33,2.91779,0.0,0.993628,0.554766,0.38055799999999995
95,495,1.4888,0.0245165,0.110113,0.421,0.000203,2.49,0.0,0.0,0.110113,0.110113,0.0654305,0.110113,0.0,1.33,2.89913,0.0,0.99379,0.5557650000000001,0.37614
96,496,1.4887,0.0234283,0.10793,0.42,0.000209,2.47,0.0,0.0,0.10793,0.10793,0.0659096,0.10793,0.0,1.33,2.88164,0.0,0.993952,0.556764,0.371722
97,497,1.4885,0.0223279,0.105726,0.418,0.000216,2.46,0.0,0.0,0.105726,0.105726,0.0663776,0.105726,0.0,1.33,2.86531,0.0,0.9941139999999999,0.557763,0.36730399999999996
98,498,1.4883,0.0212239,0.103502,0.417,0.000223,2.44,0.0,0.0,0.103502,0.103502,0.0668519,0.103502,0.0,1.33,2.84898,0.0,0.9942759999999999,0.558762,0.362886
99,499,1.4882,0.0201366,0.101261,0.416,0.00023,2.43,0.0,0.0,0.101261,0.101261,0.0673086,0.101261,0.0,1.33,2.8338200000000002,0.0,0.994438,0.559761,0.358468
